,total_opponent_score,total_off_rebounds,total_def_rebounds,total_assists,total_steals,total_turnover,total_personalfoul,total_assist_per_fgm,avg_lose_score_by,avg_win_score_by,num_season,is_playoff,is_champion,fgp,fg3p,total_rebound_possessiongain_percent,total_block_opp_FGA_percent,win_rate_away,win_rate_home,win_rate_neutral,win_rate_post,win_rate_regular
0,0.36446700507614216,0.04575163398692811,0.32567049808429127,0.4767441860465117,0.31085043988269795,0.31634819532908703,0.5736301369863014,0.875764125960155,0.6324137931034484,0.6319444444444445,0.09370755998189226,0.0,0.0,0.48114901256732495,0.37564322469982847,0.7268518518518519,0.04208754208754209,0.42857142857142855,0.47368421052631576,0.0,0.0,0.0
1,0.2710659898477157,0.1655773420479303,0.27330779054916987,0.4903100775193798,0.4604105571847507,0.2781316348195329,0.4726027397260274,0.8015214219383662,0.6772413793103449,0.6125757575757577,0.12856496152105026,0.03571428571428571,0.0,0.4825828377230246,0.38102893890675243,0.6913183279742765,0.0584070796460177,1.0,0.7222222222222222,0.5,0.0,0.7857142857142857
2,0.36598984771573606,0.27233115468409586,0.29501915708812265,0.5387596899224807,0.5689149560117301,0.25690021231422505,0.4931506849315068,0.7571859810640711,0.7489655172413794,0.6525490196078432,0.02399275690357628,0.0,0.0,0.4486994219653179,0.3644067796610169,0.7400662251655629,0.04306632213608958,0.8,0.55,0.5,0.0,0.0
3,0.3299492385786802,0.20479302832244012,0.3601532567049809,0.5406976744186047,0.47800586510263926,0.28662420382165604,0.41267123287671237,0.7826591898472093,0.814712643678161,0.521969696969697,0.09370755998189226,0.03571428571428571,0.0,0.48119122257053293,0.3970345963756178,0.6831275720164609,0.04598597038191738,1.0,0.7368421052631579,0.6666666666666666,0.0,0.7857142857142857
4,0.42081218274111676,0.21350762527233114,0.5236270753512133,0.6453488372093024,0.37243401759530786,0.28450106157112526,0.4537671232876712,0.8192343269126541,0.6996551724137932,0.7898484848484848,0.12856496152105026,0.03571428571428571,0.0,0.48579545454545453,0.4035608308605341,0.7587878787878788,0.030199039121482498,0.8571428571428571,0.7222222222222222,0.6,0.0,0.7857142857142857
5,0.36903553299492386,0.1111111111111111,0.48786717752235,0.4186046511627908,0.3284457478005865,0.3906581740976645,0.49828767123287665,0.7739725760794693,0.6208866995073892,0.4797619047619047,0.02399275690357628,0.0,0.0,0.43723673125526535,0.3754716981132076,0.7666666666666667,0.03802281368821293,0.42857142857142855,0.5882352941176471,0.25,0.0,0.0
6,0.47157360406091375,0.22875816993464054,0.49808429118773956,0.43992248062015504,0.25219941348973607,0.47133757961783446,0.5582191780821918,0.7080135931421674,0.5867323481116585,0.6120833333333333,0.05885015844273427,0.0,0.0,0.4350547730829421,0.37058823529411766,0.7546699875466999,0.045389048991354465,0.09090909090909091,0.35714285714285715,0.5,0.0,0.0
7,0.48121827411167517,0.21786492374727667,0.45977011494252873,0.4612403100775194,0.23167155425219943,0.4246284501061571,0.5462328767123288,0.6888041737634143,0.489392446633826,0.53625,0.09370755998189226,0.0,0.0,0.43872919818456885,0.31047619047619046,0.7741935483870968,0.032210834553440704,0.0,0.375,0.5,0.0,0.0
8,0.47512690355329945,0.14814814814814814,0.5261813537675607,0.6085271317829457,0.3313782991202346,0.346072186836518,0.5102739726027398,0.900936666240518,0.5875862068965518,0.4519047619047619,0.12856496152105026,0.0,0.0,0.46865671641791046,0.3762575452716298,0.7072072072072072,0.047082228116710874,0.42857142857142855,0.5,1.0,0.0,0.0
9,0.42131979695431476,0.13507625272331153,0.4929757343550447,0.4709302325581396,0.31671554252199413,0.38216560509554137,0.4606164383561644,0.7640269012059846,0.6077586206896552,0.43333333333333335,0.0013580805794477149,0.0,0.0,0.4444444444444444,0.3333333333333333,0.7506234413965087,0.05813953488372093,0.2222222222222222,0.5333333333333333,0.3333333333333333,0.0,0.0
