Season,WTeamID,W_seed,LTeamID,L_seed,diff_seed,outcome,total_off_rebounds,total_def_rebounds,total_assists,total_steals,total_turnover,total_personalfoul,total_assist_per_fgm,avg_lose_score_by,avg_win_score_by,num_season,is_playoff,is_champion,TeamID,fgp,total_block_opp_FGA_percent,win_rate_away,win_rate_home,win_rate_neutral,win_rate_post,win_rate_regular
2017,1243,11,1448,11,0,1,0.8725475948263333,0.8336209601506118,0.8228536880290206,0.7248175182481752,0.8628571428571428,0.9328908554572272,0.614687661192099,0.7852527185053589,0.5684784345757055,0.5739130434782609,0.34375,0.0,1243.0,0.44027173498206246,0.06424025457438345,0.5283018867924528,0.6666666666666666,0.5,0.5217391304347826,0.7383177570093458
2017,1291,16,1309,16,0,1,0.6981543380322627,0.7750235331032318,0.6446191051995164,0.780778588807786,0.8585365853658536,0.9226717235566794,0.3062823732732618,0.6729162336312617,0.36476069668732014,0.14782608695652175,0.0625,0.0,1291.0,0.4231564169558944,0.058275432748303144,0.5328947368421053,0.40468227424749165,0.0,0.3333333333333333,0.5303030303030303
2017,1413,16,1300,16,0,1,0.45080656881267256,0.6442579228114214,0.5795646916565901,0.5209245742092458,0.7416027874564459,0.7526337968815845,0.4729524212890701,0.6267026377138836,0.2812805032356025,0.4521739130434783,0.0625,0.0,1413.0,0.4405437705407828,0.04134893193766873,0.36507936507936506,0.34579439252336447,0.475,0.6,0.6451612903225806
2017,1425,11,1344,11,0,1,0.7440778956547013,0.8671948540947599,0.7130592503022976,0.7428223844282239,0.8716376306620208,0.8690476190476191,0.3213554986736271,0.7219234905515439,0.44192956483663137,0.1782608695652174,0.09375,0.0,1425.0,0.4414226719744038,0.06943108677961086,0.38235294117647056,0.5677655677655677,0.5483870967741935,0.5714285714285714,0.6836734693877551
2017,1112,2,1315,15,13,1,0.7990117715448335,0.9258707248195794,0.8558645707376059,0.7469586374695865,0.8439024390243902,0.834913611462284,0.493598223840771,0.8482248022884065,0.5752848750796236,0.391304347826087,0.3125,0.0,1112.0,0.4674718137702047,0.06269806972054164,0.7538461538461538,0.7598566308243727,0.625,0.6551724137931034,0.8054711246200608
2017,1139,4,1457,13,9,1,0.6436564452841156,0.7925949168497018,0.6812575574365176,0.6600973236009733,0.6797212543554007,0.8607248209018121,0.38913762168870925,0.8215042907622413,0.4892844283723916,0.1782608695652174,0.09375,0.0,1139.0,0.44544487189981175,0.04818055027260048,0.7278911564625851,0.6884615384615385,0.6481481481481481,0.5714285714285714,0.7021276595744681
2017,1196,4,1190,13,9,1,0.8009010318267693,0.9215563225604015,0.8649334945586458,0.8177615571776157,0.8291289198606271,0.827117572692794,0.4983279377401608,0.8776800658891044,0.690592794480879,0.1782608695652174,0.03125,0.0,1196.0,0.4701234388085788,0.06699623699549916,0.7043478260869566,0.7359154929577465,0.7272727272727273,0.75,0.75
2017,1199,3,1195,14,11,1,0.7522162476384245,0.8727643551929714,0.7137847642079808,0.872749391727494,0.9651567944250871,0.9158238516645597,0.3153089283339494,0.7585650637578737,0.5084993935193208,0.8782608695652174,0.25,0.0,1199.0,0.4545870510180737,0.08218716036427688,0.5294117647058824,0.6526315789473685,0.5857142857142857,0.4666666666666667,0.7222222222222222
2017,1211,1,1355,16,15,1,0.7327423339630866,0.9793693128333856,0.8408706166868198,0.7542579075425792,0.8072473867595819,0.8440792246101981,0.44620179840123897,0.8651807556401196,0.6753871136854758,0.5434782608695653,0.5625,0.0,1211.0,0.49201399452388195,0.0636163982430454,0.8623188405797102,0.8540772532188842,0.75,0.5909090909090909,0.8343949044585988
2017,1235,5,1305,12,7,1,0.7200988228455165,0.9121430812676498,0.8226118500604596,0.715815085158151,0.7980487804878048,0.8010956595027392,0.4765971121499404,0.7435109984644701,0.5329091107712476,0.1782608695652174,0.09375,0.0,1235.0,0.4521239870634834,0.06229283758466638,0.47058823529411764,0.6290322580645161,0.6,0.5714285714285714,0.7634408602150538
