Season,WTeamID,W_seed,LTeamID,L_seed
2018,1437,1,1345,2
2018,1437,1,1403,3
2018,1437,1,1455,4
2018,1437,1,1452,5
2018,1437,1,1196,6
2018,1437,1,1116,7
2018,1437,1,1439,8
2018,1437,1,1104,9
2018,1437,1,1139,10
2018,1437,1,1382,11
2018,1437,1,1417,11
2018,1437,1,1293,12
2018,1437,1,1267,13
2018,1437,1,1372,14
2018,1437,1,1168,15
2018,1437,1,1254,16
2018,1437,1,1347,16
2018,1437,1,1242,1
2018,1437,1,1181,2
2018,1437,1,1277,3
2018,1437,1,1120,4
2018,1437,1,1155,5
2018,1437,1,1395,6
2018,1437,1,1348,7
2018,1437,1,1371,8
2018,1437,1,1301,9
2018,1437,1,1328,10
2018,1437,1,1113,11
2018,1437,1,1393,11
2018,1437,1,1308,12
2018,1437,1,1158,13
2018,1437,1,1137,14
2018,1437,1,1233,15
2018,1437,1,1335,16
2018,1437,1,1438,1
2018,1437,1,1153,2
2018,1437,1,1397,3
2018,1437,1,1112,4
2018,1437,1,1246,5
2018,1437,1,1274,6
2018,1437,1,1305,7
2018,1437,1,1166,8
2018,1437,1,1243,9
2018,1437,1,1400,10
2018,1437,1,1260,11
2018,1437,1,1172,12
2018,1437,1,1138,13
2018,1437,1,1460,14
2018,1437,1,1209,15
2018,1437,1,1420,16
2018,1437,1,1462,1
2018,1437,1,1314,2
2018,1437,1,1276,3
2018,1437,1,1211,4
2018,1437,1,1326,5
2018,1437,1,1222,6
2018,1437,1,1401,7
2018,1437,1,1281,8
2018,1437,1,1199,9
2018,1437,1,1344,10
2018,1437,1,1361,11
2018,1437,1,1355,12
2018,1437,1,1422,13
2018,1437,1,1285,14
2018,1437,1,1252,15
2018,1437,1,1300,16
2018,1437,1,1411,16
2018,1345,2,1437,1
2018,1345,2,1403,3
2018,1345,2,1455,4
2018,1345,2,1452,5
2018,1345,2,1196,6
2018,1345,2,1116,7
2018,1345,2,1439,8
2018,1345,2,1104,9
2018,1345,2,1139,10
2018,1345,2,1382,11
2018,1345,2,1417,11
2018,1345,2,1293,12
2018,1345,2,1267,13
2018,1345,2,1372,14
2018,1345,2,1168,15
2018,1345,2,1254,16
2018,1345,2,1347,16
2018,1345,2,1242,1
2018,1345,2,1181,2
2018,1345,2,1277,3
2018,1345,2,1120,4
2018,1345,2,1155,5
2018,1345,2,1395,6
2018,1345,2,1348,7
2018,1345,2,1371,8
