Season,WTeamID,W_seed,LTeamID,L_seed,diff_seed,,outcome,total_off_rebounds,total_def_rebounds,total_assists,total_steals,total_turnover,total_personalfoul,total_assist_per_fgm,avg_lose_score_by,avg_win_score_by,num_season,is_playoff,is_champion,TeamID,fgp,total_block_opp_FGA_percent,win_rate_away,win_rate_home,win_rate_neutral,win_rate_post,win_rate_regular
2014,1107,16,1291,16,0,0.28732765,1,0.596396396,0.754625122,0.499294781,0.440298507,0.629283489,0.694339623,0.682399066,0.663686513,0.420095546,0.381027668,0.125,0,1107,0.439143731,0.056354227,0.7,0.5,0,0.2,0.666666667
2014,1301,12,1462,12,0,0.441547607,1,0.731531532,0.740993184,0.620592384,0.402985075,0.551401869,0.8,0.681963017,0.573901465,0.35242058,0.499011858,0.3125,0,1301,0.45865434,0.071884984,0.5,0.684210526,0.666666667,0.444444444,0.646788991
2014,1142,16,1411,16,0,0.60117124,1,0.58018018,0.605647517,0.480959097,0.412935323,0.419003115,0.709433962,0.723879686,0.635573621,0.391249527,0.17826087,0.03125,0,1142,0.40371517,0.053297801,0.333333333,0.25,0.8,0.5,0.366666667
2014,1397,11,1234,11,0,0.734091404,1,0.790990991,0.779941577,0.54583921,0.412935323,0.542056075,0.691823899,0.68583483,0.737461163,0.730027739,0.17826087,0.03125,0,1397,0.442492918,0.088200935,0.571428571,0.65,0.6,0.75,0.625
2014,1163,7,1386,10,3,0.192950075,1,0.618018018,0.837390458,0.603667137,0.589552239,0.618380062,0.781132075,0.714576689,0.636484687,0.549183826,0.056521739,0.03125,0.2,1163,0.44835046,0.109553479,0.7,0.777777778,0.833333333,0,0
2014,1173,11,1326,6,-5,0.522129639,1,0.691891892,0.760467381,0.607898449,0.47761194,0.61682243,0.832704403,0.704293152,0.705725699,0.440692275,0.086956522,0.03125,0,1173,0.466152999,0.049826188,0.636363636,0.764705882,0.6,0.75,0.696969697
2014,1196,1,1107,16,15,0.926643833,1,0.715315315,0.794547225,0.640338505,0.609452736,0.599688474,0.693081761,0.757985553,0.878828229,0.515343273,0.604347826,0.4375,0.4,1196,0.462095875,0.055523755,1,0.894736842,1,0.657142857,0.758754864
2014,1217,12,1153,5,-7,0.2575121,1,0.542342342,0.670886076,0.592383639,0.537313433,0.521806854,0.652830189,0.811887535,0.697070573,0.582413315,0.513043478,0.125,0,1217,0.467973856,0.095490716,0.916666667,0.769230769,1,0.5,0.8
2014,1257,4,1264,13,9,0.88022463,1,0.83963964,0.800389484,0.751763047,0.855721393,0.54517134,0.833962264,0.750469933,0.785352863,1,0.695652174,0.5625,0.4,1257,0.47373494,0.086027397,0.818181818,0.888888889,0.8,0.703703704,0.763239875
2014,1276,2,1459,15,13,0.911377376,1,0.526126126,0.737098345,0.661495063,0.42039801,0.482866044,0.603773585,0.768202541,0.66677763,0.563106796,0.665217391,0.28125,0,1276,0.475788288,0.04598338,0.777777778,0.764705882,0.714285714,0.64,0.683257919
